name,smiles,Density,Vint,Veff,pc
DINICA10,O=C(O)c1cncc(C(=O)O)c1,1.6346,124.774,169.6785127,0.735355338
RIVKAJ,Nn1cn[nH]c1=O,1.6681,73.229,99.58872426,0.735314169
WUPYIQ,O=C1c2nc3ccccc3nc2C(=O)c2nc3ccccc3nc21,1.5934,239.141,325.2257331,0.735307744
AZALIX,NNC(=O)c1cc(O)c(O)c(O)c1,1.6502,136.162,185.2083288,0.73518292
EDTAXX02,O=C([O-])C[NH+](CC[NH+](CC(=O)[O-])CC(=O)O)CC(=O)O,1.6368,217.802,296.3378294,0.734978725
AZAYIM,NC(=O)c1c(N)noc1N,1.6626,104.232,141.8781996,0.734658322
IMDIAC,O=C([O-])C[NH2+]CC(=O)O,1.6279,99.686,135.7098626,0.734552361
XESRIW,NC1C(O)C2NC(=O)NC(C1O)C2O,1.6997,145.748,198.4186975,0.734547711
MALEHY01,O=c1ccc(O)n[nH]1,1.6318,83.681,114.0044716,0.734015068
AMUHAU,COC(=O)C1=C/N/C(C#N)=C(C#N)\N=C\C(C(=O)OC)=C/N/C(C#N)=C(C#N)\N=C\1,1.5414,319.49,435.3479884,0.733872692
ALATIN03,NC(=O)NC1NC(=O)NC1=O,1.7217,111.789,152.4352964,0.733353774
CUXKAK02,CC(C)NNC(=O)c1ccncc1,1.4635,149.031,203.227328,0.733321653
HUCSAA,O=C(O)c1ccc(-c2ccc(C(=O)O)cn2)nc1,1.5931,186.548,254.3887918,0.733318472
IYAWAG,O=C(O)c1nccnc1C(=O)O,1.6691,122.531,167.1614687,0.733009832
TISJUB,O=C(O)C1=CC(=[N+]([O-])[O-])C=C[N+]1=O,1.7003,131.714,179.7155575,0.732902604
RATMEF01,NNC=O,1.5352,47.559,64.93599634,0.732398095
MUGHIF,O=C([O-])c1ccc2cccc(O)c2[nH+]1,1.5818,145.274,198.4600646,0.732006212
TAQXAL,O=C(O)Cn1ccc(=O)[nH]c1=O,1.6675,123.913,169.3291729,0.731787665
TIJJAX,O=C([O-])c1nc(-c2ccccn2)c(-c2cccc[nH+]2)nc1C(=O)O,1.598,244.845,334.6869726,0.731564178
AWABOQ,C[n+]1ccc(C(=O)O)c(C(=O)[O-])c1,1.5902,138.284,189.0522483,0.731459167
QUSVOS,Nc1nonc1-c1nnc(N)n1N,1.6942,130.501,178.4556477,0.731279742
WAFLIA,Cn1c2ccccc2[n+](=O)c2c(=O)[nH]c(=O)[n-]c21,1.6302,181.803,248.6108689,0.73127535
FUZYUU,O=C(CC(=O)NO)NO,1.666,97.577,133.5983168,0.730375969
