name,smiles,Density,Vint,Veff,pc
MAYKAB,C#CCN1[C@@H](C[N+](=O)[O-])[C@@H]2OC(C)(C)O[C@@H]2[C@H]1[C@H](C)O,1.2846,222.398,367.3036513,0.605488127
NUCDEW,Cc1ccc2c(c1)[C@@](C[N+](=O)[O-])(C(C#N)C#N)C(=O)N2,1.3695,211.526,327.4823124,0.645915801
FAGWEP,O=C1CCCC(C(CC2OCCO2)[N+](=O)[O-])C1,1.3655,186.513,295.6496398,0.630858202
GIVSIQ,CC(C)c1ccc2ccccc2c1-c1ccccc1/C=C/[N+](=O)[O-],1.1989,262.167,439.2737557,0.596819174
JULGAY,COc1ccc(/C=C(\C)[N+](=O)[O-])cc1,1.3136,155.798,244.0762082,0.638317029
FOKWUY,Cc1ccc(C(=O)C2([N+](=O)[O-])C(C)(C)c3ccccc3C2(C)C)cc1,1.2357,275.033,453.1041822,0.606997266
MIFZUZ,CCOC(=O)C1(O[N+](=O)[O-])C(=O)C2CC3CC(C2)CC1C3,1.3652,221.384,361.4119006,0.612553155
CUXNOY,O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,1.3547,270.257,437.7874173,0.617324732
PUXQUW,CCC1=C(C#N)C(=O)N(CC)C(=O)/C1=N\Nc1ccc([N+](=O)[O-])cc1,1.4325,265.282,395.4284524,0.670872312
JUTGEK,O=[N+]([O-])CC[N+](=O)[O-],1.6195,85.98,123.0629251,0.698666962
YAZZIL,CN1CC(c2ccccc2)C([N+](=O)[O-])C12c1ccccc1-c1nc3ncccc3nc12,1.3449,319.399,505.1981,0.63222526
FONYUF,Cc1ccc2c(c1)C1CC(C(=O)OC(C)(C)C)=CC1([N+](=O)[O-])O2,1.2587,248.017,418.3840243,0.592797491
MUKHEG,CC(=O)C1C2CCCC(C2=O)C(c2ccco2)C1[N+](=O)[O-],1.3348,222.88,362.1654053,0.615409414
OBUXOA,CCCNc1ccc(C#N)cc1[N+](=O)[O-],1.294,165.291,263.1872962,0.628035632
ROGVAL,CCOC(=O)[C@]1([N+](=O)[O-])C[C@H]1c1cccc([N+](=O)[O-])c1,1.5099,213.089,308.022698,0.691796421
MAZWEQ01,O=[N+]([O-])c1ccc(/C=N/CCCCCC/N=C/c2ccc([N+](=O)[O-])cc2)cc1,1.3294,308.005,477.3745397,0.645206173
JOXNOB,CCOC(=O)C1=C(C)NC(Nc2ccccc2)=C(C#N)C1c1ccc([N+](=O)[O-])cc1,1.2954,318.554,518.0862472,0.614866736
NOZZAD,COC(=O)C(C(=O)OC)C(C1COC(C)(C)O1)C(C)(C)[N+](=O)[O-],1.3304,256.154,415.82698,0.616011015
CEWLOI,COC1(OC)C2CC(=O)CC1C([N+](=O)[O-])=C(NCc1ccccc1)N2,1.282,266.714,449.6678389,0.593135592
WADYAD,CCOC(=O)c1ccn2ccnc2c1-c1ccc([N+](=O)[O-])cc1,1.3915,239.302,371.2519297,0.644581161
OKAQEZ,CC1=C(C(=O)OCc2ccccc2)C(c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)C2=C(CCC(C)(C)C2=O)N1,1.3633,387.364,617.7633771,0.627042674
ZURLOP,CCCCn1cc(C(=O)CC(C)(C)C(C)(C)[N+](=O)[O-])cn1,1.1795,243.671,415.5929088,0.586321361
DAFBOB,CN1CCC/C1=C\[N+](=O)[O-],1.3865,111.938,170.16117,0.657835157
PUCRIP,CC1CN2c3ccc([N+](=O)[O-])cc3CC3(C(=O)NC(=O)NC3=O)C2C(C)O1,1.3155,276.31,472.2676142,0.585070819
JITXAM,COc1c2c(cc3c1C1C([N+](=O)[O-])C4c5c(cc6c(c5OC)OCO6)CCN4N1CC3)OCO2,1.4961,343.506,520.732587,0.65965912
