name,smiles,Density,Vint,Veff,pc
DAFGAS,O=[N+]([O-])C1([N+](=O)[O-])C2C3C4C2C2C1C3C4C2([N+](=O)[O-])[N+](=O)[O-],1.7163,211.134,301.9076004,0.699333173
JUVMIW01,O=[N+]([O-])C1([N+](=O)[O-])C[C@H]2C[C@@H]1CC2([N+](=O)[O-])[N+](=O)[O-],1.7131,189.392,267.5748143,0.707809517
UZONOP,Cn1nc([N+](=O)[O-])c(N(CCO[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],1.7659,220.046,301.8875868,0.728900457
MINHAV,O=[N+]([O-])Nc1nnc2nncn2n1,1.7409,124.715,173.633831,0.718264403
CUFZIM,C[C@]12[C@]3([N+](=O)[O-])[C@]4([N+](=O)[O-])[C@@]1([N+](=O)[O-])[C@]1([N+](=O)[O-])[C@@]2([N+](=O)[O-])[C@@]3([N+](=O)[O-])[C@]41[N+](=O)[O-],1.8197,282.036,395.1180352,0.713801889
SAWMUA,O=C1c2noc([N+](=O)[O-])c2[C@@H]2CO[C@H]1O2,1.7225,144.662,204.3882251,0.707780499
WUBJAG,O=[N+]([O-])O[C@H]1[C@@H]2C[C@H]3[C@@H](O[N+](=O)[O-])[C@H](C[C@@H]1C3([N+](=O)[O-])[N+](=O)[O-])C2([N+](=O)[O-])[N+](=O)[O-],1.852,289.509,392.7565571,0.73712073
KUBPAY,O=[N+]([O-])N1CCN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8122,174.777,241.9233235,0.722447912
YILNOY,O=[N+]([O-])C1=CNc2nnnn2[C@@H]1O,1.7503,126.299,174.6030228,0.723349447
SICNUN,O=C(O)CN(c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])[N+](=O)[O-],1.7013,200.418,279.1761747,0.717890774
LUZKOJ,O=[N+]([O-])OCC1=C/C(=C2/C(c3cc(CO[N+](=O)[O-])on3)=NO[N+]2=O)[N-]O1,1.7114,254.936,359.0312877,0.71006625
OLOBIA,N/C(=N\[N+](=O)[O-])N[N+](=O)[O-],1.8834,100.571,131.3901067,0.765438148
PAGNUJ,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(-n2cnc([N+](=O)[O-])c2)c1[N+](=O)[O-],1.7293,232.438,325.5516948,0.713981846
OGOYAN,NC(N)=C(c1ncn[nH]1)[N+](=O)[O-],1.7105,122.167,165.0942438,0.739983401
BUGKIY,Nn1cc([N+](=O)[O-])nc1[N+](=O)[O-],1.7495,222.499,518.5565997,0.71251979
CTMTNA,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.8051,148.516,204.260775,0.727090162
GANTAT01,O=[N+]([O-])c1n[nH]c([N+](=O)[O-])c1Nc1nnc2nncn2n1,1.8263,199.524,266.4497372,0.748824157
MEDNEQ,O=c1[nH]nc2n1-c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC2,1.8111,192.384,255.8374612,0.751977443
NUSTIH,O=[N+]([O-])c1cc([N+](=O)[O-])n(-c2nc[nH]n2)n1,1.7414,155.219,214.5836317,0.723349674
KOBXOO,Nc1[nH][nH]c(=O)c1[N+](=O)[O-],1.8322,100.426,130.5389485,0.769318285
UZEWED,O=[N+]([O-])N1CCCN=C1C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7174,182.463,268.8295303,0.678731238
KUGYAM,CC(=O)N1CN(C(C)=O)[C@H]2[C@@H]1N([N+](=O)[O-])CN([N+](=O)[O-])CN2[N+](=O)[O-],1.7018,253.153,353.3272997,0.71648299
KOVHAE,O=[N+]([O-])C(=C1NCCN1)[N+](=O)[O-],1.701,121.414,169.9053528,0.714597851
LEFRAP,O=[N+]([O-])C1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,1.7237,153.075,212.9479691,0.718837567
TNITAN,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.8599,184.195,243.7446895,0.755688259
PICRAC,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,1.7712,156.626,214.6977096,0.729518728
GULGAV,O=[N+]([O-])c1nc[nH]c1[N+](=O)[O-],1.7804,108.625,147.3755494,0.737062562
NIMFOE,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,1.8062,109.111,144.3553968,0.755849815
BINSAS,Nc1c([N+](=O)[O-])c2[n-]o[n+](=O)c2c2[n-]o[n+](=O)c12,1.9314,169.323,218.3899493,0.775324142
OGOYER,NC(N)=C(c1ncnc(N)n1)[N+](=O)[O-],1.7061,142.239,191.8105638,0.741559782
CUFRAZ,Nc1nc(-c2nonc2N[N+](=O)[O-])no1,1.8188,144.931,194.4956765,0.745163094
