MolName,Density,SMILES
ABOTOA,1.1694,C/C=C/C1C(C(C)NC(=O)OCc2ccccc2)C(=O)N1Cc1ccccc1
ABOWET,1.1586,CCCCCCCCOc1cc(/C=C/c2ccc(/C=C/c3ccccc3C#N)cc2)c(OCCCCCCCC)cc1/C=C/c1ccc(/C=C/c2ccccc2C#N)cc1
ABOWIX,1.1414,CCCCCCCCOc1cc(/C=C/c2ccc(/C=C(\C#N)c3ccc(OC)cc3)cc2)c(OCCCCCCCC)cc1/C=C/c1ccc(/C=C(\C#N)c2ccc(OC)cc2)cc1
ABOWIZ,1.2415,CC(/N=C/c1c(O)ccc2ccccc12)c1ccccc1
ABUDAD,1.121,O=C1NC2CCCCCCCCCCC12
ABUGIN,1.4045,COC(=O)C1(OC)c2c(n(C)c3ccccc3c2=O)C1(OC)C(=O)OC
ABUHAZ,1.2163,CCCCN(c1nc(N)n(CCCC)n1)N(C(=O)c1ccccc1)C(=O)c1ccccc1
ABUHEK,1.2901,CN1C(=O)c2ccccc2C1(O)C(C)(C)O
ABUJAL,1.2861,O=c1c2ccccc2nc(/C=C/c2ccccc2)n1-n1c(/C=C/c2ccccc2)nc2ccccc2c1=O
ABUKOX,1.4082,Cc1cn(C2OCC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)C2OC(=O)c2ccccc2)c(=O)[nH]c1=O
ABULIT01,1.4124,COc1cccc(/C=N/O)c1O
ABULOA,1.4292,CNc1nc(OC)n(C)c2ncnc1-2
ABUQAP,1.3762,COC(=O)c1c(O)c(O)c(C(=O)OC)n1Cc1ccccc1
ABUQIX,1.2754,C=Cc1ccc(C(=O)NC(CC(=O)OC)C(=O)OC)cc1
ABURAQ,1.3534,O=c1c(Cc2ccccc2)c([O-])[n+]2ccccc2n1-c1ccccc1
ABURIY,1.2213,O=C(OCC1/C=C/C/C=C\CC/C=C/CC1)c1ccc([N+](=O)[O-])cc1
ABUSEV,1.2486,COC(=O)/C=C/c1cc2ccccc2n1C
ABUSIZ,1.2343,Cn1cc(C=O)c2ccccc21
ABUSUL,1.309,CC12CC(=O)C1(c1ccccc1)C(=O)N(c1ccccc1)C2=O
ABUTAS,1.3549,C=CC(=O)Nc1ccc(C2=NCCO2)cc1
ABUTEW,1.2551,Nc1ccc(C2=NCCO2)cc1
ABUTIA01,1.1234,COc1cc2c(cc1OC)C(c1ccc([N+](=O)[O-])cc1)N(C1OC(COC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C1OC(=O)C(C)(C)C)CC2
ABUTUM,1.0675,C=CCN(C(C)c1ccccc1)C1OC(COC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C1OC(=O)C(C)(C)C
ABUVEY,1.1067,CCC(CC)(C(=O)OC)C(c1ccccc1)N(Cc1ccccc1)C1OC(COC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C(OC(=O)C(C)(C)C)C1OC(=O)C(C)(C)C
ABUVOJ,1.3327,CCN(CC)c1ccc(/C=N/c2ccc([N+](=O)[O-])cc2)c(O)c1
ACACOX,1.0974,CC(=O)NN=C(C)C
ACACTA,1.2169,COc1ccc(NC(C)=O)cc1
ACACTB,1.1999,CC(=O)Nc1ccc2ccccc2c1
ACADOS,1.4983,CC(=O)OC1C(CO)OC(n2cnc3c(N)ncnc32)C1O
ACAFLR,1.2784,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2
ACAGES,1.2797,C=CC1CC(C(=O)OC)(C(=O)OC)C2(C(=O)N(C)c3ccccc32)N(c2ccccc2)O1
ACAKEU,1.1171,CC(C)(C)c1ccc(C(=O)Nc2ccccc2)cc1
ACAKIY,1.1069,Cc1ccccc1NC(=O)c1ccc(C(C)(C)C)cc1
ACAKOE,1.1118,Cc1cccc(C)c1NC(=O)c1ccc(C(C)(C)C)cc1
ACALAR,1.4378,O=C(Nc1ccccc1)c1ccc([N+](=O)[O-])cc1
ACALEV,1.3098,Cc1cccc(C)c1NC(=O)c1ccc([N+](=O)[O-])cc1
ACALIA,1.2213,CC(=O)OCC1OC(n2nnc(C#N)c2CC#N)C(OC(C)=O)C1OC(C)=O
ACALIZ,1.2381,CCc1cccc(CC)c1NC(=O)c1ccc([N+](=O)[O-])cc1
