name,smiles,Density,Vint,Veff,pc
HASHEO,O=[N+]([O-])[C@]12C3[C@]4([N+](=O)[O-])C1[C@]1([N+](=O)[O-])C2[C@@]3([N+](=O)[O-])C41,1.8138,192.235,260.0150168,0.739322684
TENZUJ,O=[N+]([O-])Nc1n[nH]nc1[N+](=O)[O-],1.9177,115.961,150.6842767,0.769562708
LUFXUH,O=[N+]([O-])c1ccc(N2c3nonc3N(c3ccc([N+](=O)[O-])cc3[N+](=O)[O-])c3nonc32)c([N+](=O)[O-])c1,1.7332,345.287,477.1655691,0.723620945
MEWSAK,O=[N+]([O-])OCC(CO[N+](=O)[O-])[N+](=O)[O-],1.7595,143.716,199.1471026,0.721657499
KIBMIU,Cn1nnnc1/N=C(\N)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.7743,186.292,257.4115114,0.723712778
SEDTUQ03,NC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8925,102.091,129.8850286,0.786010529
HASHAK,O=[N+]([O-])[C@]12C3[C@]4([N+](=O)[O-])[C@H]1C1[C@H]2[C@@]3([N+](=O)[O-])[C@@H]14,1.7377,165.843,228.4128541,0.726066843
VECGIV02,O=[N+]([O-])c1n[nH]c(-c2nc([N+](=O)[O-])n[nH]2)n1,1.7772,153.102,211.191001,0.724945662
ZUGPUM,O=[N+]([O-])N1C[C@]2([N+](=O)[O-])CN([N+](=O)[O-])C[C@]2([N+](=O)[O-])C1,1.8078,222.369,501.833594,0.735833483
PUBMUU20,O=[N+]([O-])N1C2C3N([N+](=O)[O-])C1C1N([N+](=O)[O-])C(C(N1[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],2.0622,275.939,352.7207276,0.782315805
ZZZLYS01,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)cc1O,1.7925,139.787,185.2895496,0.754424631
KIRCAP,COC(=O)[C@H]1ON2O[C@H]1c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1C2([N+](=O)[O-])[N+](=O)[O-],1.7963,269.714,370.7152178,0.727550386
NOEURA,O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8605,255.805,344.5313737,0.742472296
BAKLII,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],1.8895,175.58,227.6405298,0.771303775
KUBPIG,O=[N+]([O-])C(=C1NCCN1[N+](=O)[O-])[N+](=O)[O-],1.7996,148.095,202.1067048,0.732756492
MAJTIB,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,1.7149,140.696,185.9371434,0.756685821
COYLAF03,O=[N+]([O-])C(CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.8328,283.166,385.9858306,0.733617604
NUQPOF,O=C1c2c([N+](=O)[O-])cc([N+](=O)[O-])c(O)c2C(=O)c2c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c21,1.8412,222.365,492.7301604,0.74941489
CASYIG01,O=[N+]([O-])C(=C1N[C@H](O)[C@@H](O)N1)[N+](=O)[O-],1.8563,138.085,184.308202,0.749207026
PUTCOW,COc1c([N+](=O)[O-])cc([N+](=O)[O-])c2nn(-c3cc([N+](=O)[O-])cc([N+](=O)[O-])c3N)nc12,1.7234,292.928,404.7352841,0.723752071
MOCJUK01,O=[N+]([O-])c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7917,289.064,392.9651547,0.735597028
JOWWIB,Nc1nc([N+](=O)[O-])n[nH]1,1.8178,90.206,117.8705119,0.765297431
ITINEE,O=C(O)c1cn(CC(Cn2cc(C(=O)O)nn2)([N+](=O)[O-])[N+](=O)[O-])nn1,1.7807,249.156,332.0328147,0.750395711
NNAPAN10,O=C1OC(=O)c2ccc([N+](=O)[O-])c3c([N+](=O)[O-])ccc1c23,1.7761,203.511,269.273055,0.755779296
RIGJIA,O=[N+]([O-])N1CN([N+](=O)[O-])[C@H]2[C@@H]1[C@H]1[C@@H]2N([N+](=O)[O-])CN1[N+](=O)[O-],1.83,212.613,290.4203461,0.732087138
WACGOW,O=[N+]([O-])c1cc([N+](=O)[O-])c(Cc2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1.7418,302.457,417.5852888,0.724299941
KAFXAU01,O=[N+]([O-])c1cnn(/N=N/n2ncc([N+](=O)[O-])n2)n1,1.7937,173.27,235.1762592,0.736766545
FABHUL,Cn1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.8085,175.484,239.6536068,0.732240179
SAWBOH,NC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],1.7366,177.808,244.8041473,0.726327564
JERVUY,O=c1[nH]cc([N+](=O)[O-])cc1[N+](=O)[O-],1.8018,129.574,170.5089759,0.759924803
DILFUZ,O=[N+]([O-])N(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.875,314.307,421.5815916,0.745542515
GEYNON,O=C1OCOc2c1cc([N+](=O)[O-])cc2[N+](=O)[O-],1.7697,166.908,225.2060083,0.741134756
FIPZIN,N#[N+][N-]CN(CN(CN(C[N-][N+]#N)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1.7145,224.213,310.0067317,0.723252036
DATNBZ01,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8529,222.367,489.6188523,0.754183869
PIGSUV,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(-n2cnc([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],1.8266,267.639,362.7536766,0.737798174
NACXEU,O=[N+]([O-])C12C3C4([N+](=O)[O-])C1C1([N+](=O)[O-])C2C3([N+](=O)[O-])C41[N+](=O)[O-],1.9583,217.697,278.9753655,0.780344887
DNPHOL,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.7049,131.497,179.230666,0.733674672
NHANTQ,O=C1c2c(O)ccc([N+](=O)[O-])c2C(=O)c2c(O)ccc([N+](=O)[O-])c21,1.7134,232.76,319.8427785,0.727732548
OWUYOW02,O=[N+]([O-])N(CCN(c1nonc1-c1ncon1)[N+](=O)[O-])c1nonc1-c1ncon1,1.7494,290.302,400.6201346,0.724631577
GISDIY,Nc1nc(-c2c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(N)c2[N+](=O)[O-])nc(N)c1[N+](=O)[O-],1.802,270.443,364.9750514,0.740990375
NAYNUX01,O=[N+]([O-])N1[C@H]2O[C@H]3[C@H]4O[C@@H]1[C@H](N4[N+](=O)[O-])N([N+](=O)[O-])[C@@H]2N3[N+](=O)[O-],2.0142,222.009,288.573307,0.769333111
MUGNUX01,O=[N+]([O-])N1[C@H]2O[C@@H]3O[C@H]2N([N+](=O)[O-])[C@H]2O[C@@H]3O[C@H]21,1.9868,167.169,218.9994091,0.763330827
DNEDAM,O=[N+]([O-])NCCN[N+](=O)[O-],1.7081,106.301,145.8665213,0.728755296
JUNBEB,Nc1c([N+](=O)[O-])nnc2c([N+](=O)[O-])c([N+](=O)[O-])nn12,1.9452,180.019,230.5049132,0.780976845
KAVFUI01,O=[N+]([O-])c1cn([N+](=O)[O-])cn1,1.7524,109.376,149.7303288,0.730486608
SOBFOE,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@H]1NC(=O)N([N+](=O)[O-])[C@H]1N2[N+](=O)[O-],1.9704,243.174,318.5908264,0.763279981
LOLJAX02,O=C(C(=O)N1CC([N+](=O)[O-])([N+](=O)[O-])C1)N1CC([N+](=O)[O-])([N+](=O)[O-])C1,1.7483,238.862,330.5719467,0.722571901
DUKLAX,O=[N+]([O-])c1ccc(N2CC([N+](=O)[O-])([N+](=O)[O-])C2)c([N+](=O)[O-])c1,1.7234,219.401,301.622795,0.727401919
XAHMIE01,O=[N+]([O-])N1CN([N+](=O)[O-])c2nonc2N([N+](=O)[O-])C1,1.8911,181.307,242.3770826,0.748036894
BOSVIO,O=c1[nH]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c2c([N+](=O)[O-])cc([N+](=O)[O-])cc12,1.8126,261.973,343.5614541,0.762521514
