name,smiles,Density,Vint,Veff,pc
SOBFOE,O=C1N[C@H]2[C@@H](N1[N+](=O)[O-])N([N+](=O)[O-])[C@H]1NC(=O)N([N+](=O)[O-])[C@H]1N2[N+](=O)[O-],1.9704,243.174,318.5908264,0.763279981
BOSVIO,O=c1[nH]c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2c2c([N+](=O)[O-])cc([N+](=O)[O-])cc12,1.8126,261.973,343.5614541,0.762521514
VUXJIH,[NH3+]C(C(=O)[O-])C([NH3+])C(=O)[O-],1.7117,109.358,143.628664,0.761393979
GIMREA,O=Cc1c[nH]c(=O)[nH]c1=O,1.7202,102.811,135.1708243,0.760600525
NBARBA,O=c1[nH]c(O)c([N+](=O)[O-])c(=O)[nH]1,1.8673,116.995,153.8563021,0.76041734
JERVUY,O=c1[nH]cc([N+](=O)[O-])cc1[N+](=O)[O-],1.8018,129.574,170.5089759,0.759924803
TIBMUM,Nc1nc(N)c([N+](=O)[O-])c(N)c1[N+](=O)[O-],1.8181,148.423,195.5025655,0.759186968
TRURET10,NC(=O)NC(=O)NC(N)=O,1.7482,105.292,138.725918,0.758992995
GICTIV,O=[N+]([O-])n1cnc(/N=N/c2ncn([N+](=O)[O-])n2)n1,1.8294,174.877,230.5868899,0.758399578
AZURAC01,O=c1cn[nH]c(=O)[nH]1,1.7461,81.479,107.4882351,0.758027146
FUJXEO,NNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.8194,112.737,148.8042847,0.757619313
APITEA,Nn1nn[nH]c1=O,1.7943,70.825,93.50535662,0.757443237
CUVXOG,O=[N+]([O-])C(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],1.9073,255.194,336.9342406,0.757400018
CURTER,N#[N+][N-]CN1C2C3N([N+](=O)[O-])C(C4N([N+](=O)[O-])C1C(N4[N+](=O)[O-])N3[N+](=O)[O-])N2[N+](=O)[O-],1.9254,292.65,386.4338692,0.757309396
TENZOD,Nn1nc([N+](=O)[O-])c([N+](=O)[O-])n1,1.8672,117.14,154.7596602,0.756915593
MAJTIB,O=C1NC(=O)c2cc([N+](=O)[O-])ccc21,1.7149,140.696,185.9371434,0.756685821
DACYEL,Nc1c([N+](=O)[O-])c(N)c([N+](=O)[O-])c(C(=O)O)c1[N+](=O)[O-],1.8621,193.676,255.9557147,0.756677772
NIOBPH,O=[N+]([O-])c1cc(-c2cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c2)cc([N+](=O)[O-])c1O,1.79,256.715,339.5494616,0.756045964
WOLJUF,Nc1nc2[nH]c(=O)cnc2c(=O)[nH]1,1.7422,129.021,170.658366,0.756019193
NIMFOE,O=c1[nH]cc([N+](=O)[O-])c(=O)[nH]1,1.8062,109.111,144.3553968,0.755849815
NNAPAN10,O=C1OC(=O)c2ccc([N+](=O)[O-])c3c([N+](=O)[O-])ccc1c23,1.7761,203.511,269.273055,0.755779296
TNITAN,Nc1c([N+](=O)[O-])cc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],1.8599,184.195,243.7446895,0.755688259
TEVDOQ,NC1=NO[N-]/C1=C1\C(c2nonc2[N+](=O)[O-])=NO[N+]1=O,1.8527,190.963,252.7691247,0.755483884
PIMBAP01,O=C(O)c1ccc[nH]c1=O,1.6242,107.26,142.1426804,0.754593903
ZZZLYS01,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)cc1O,1.7925,139.787,185.2895496,0.754424631
DUMQAF,Nn1nc2c(n1)C(=O)c1nn(N)nc1C2=O,1.7858,154.355,204.6186162,0.754354627
CASBOQ01,O=[N+]([O-])c1c[nH]nc1-n1cnnn1,1.7683,128.195,170.0087236,0.754049541
NUMXAV,CNC(N)=C([N+](=O)[O-])[N+](=O)[O-],1.7496,115.961,153.7961849,0.753991395
WEPZOJ,O=c1[nH][nH]c(=O)c2cc3[nH]cnc3cc12,1.703,148.482,197.0186111,0.753644537
TICYOT,O=[N+]([O-])c1c(O)c([N+](=O)[O-])c(O)c([N+](=O)[O-])c1O,1.8864,173.122,229.7470811,0.753532968
IXAQAB,c1nc(-c2nonc2/N=N/c2nonc2-c2ncon2)no1,1.7856,211.535,280.882872,0.753107509
AKIHAF,O=C([O-])c1c[nH+]ccc1O,1.6539,105.105,139.5901455,0.752954298
VAZCAC01,Nn1nc([N+](=O)[O-])nc1[N+](=O)[O-],1.854,117.318,155.8615089,0.752706687
SAGMOE,O=C([O-])c1c[nH+]c[nH]1,1.6558,84.524,112.3520333,0.752313932
NAYPAF,O=[N+]([O-])N1[C@H]2O[C@H]3[C@@H]1N([N+](=O)[O-])[C@H]1O[C@@H]2N([N+](=O)[O-])[C@H]1N3[N+](=O)[O-],1.9671,222.259,295.4828709,0.752189118
HIJBAD,O=c1[nH]c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2[nH]c1=O,1.7976,175.092,232.8064792,0.75209247
MEDNEQ,O=c1[nH]nc2n1-c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC2,1.8111,192.384,255.8374612,0.751977443
NMALAM,NC(=O)/C(=C(/N)O)[N+](=O)[O-],1.779,103.199,137.2426679,0.751945452
SIYWIH,Nc1cc(N)c([N+](=O)[O-])cc1[N+](=O)[O-],1.7383,142.223,189.1867946,0.751759658
VEGHEU,O=C1CN([N+](=O)[O-])C(=O)CN1[N+](=O)[O-],1.8376,138.549,184.3622806,0.751504047
ZEVGAL,O=C1NN=CC2NN3C(=O)NN=CC3NN12,1.7868,156.475,208.2506727,0.751378125
CXGLUA10,[NH3+]C(CC(C(=O)O)C(=O)O)C(=O)[O-],1.7048,139.791,186.0898546,0.751201618
OXAZDO,O=C1CNC(=O)O1,1.7401,72.39,96.39638704,0.750961755
CIWMAW01,Nc1nc(N)c([N+](=O)[O-])nc1[N+](=O)[O-],1.8106,137.72,183.4578735,0.750690048
