name,smiles,Density,Vint,Veff,pc
BAFHEW,O=[N+]([O-])c1ccc(N/N=C/c2ccc(O)cc2)c([N+](=O)[O-])c1,1.5571,227.201,322.1433032,0.70527929
DNEIBA,NC(=O)c1cc(N2CC2)c([N+](=O)[O-])cc1[N+](=O)[O-],1.593,185.29,262.7453539,0.705207522
HEGBON,O=C1OC(c2ccc([N+](=O)[O-])cc2)=N/C1=C\c1ccco1,1.5537,214.091,303.5864964,0.705205938
UZEWAZ,O=[N+]([O-])N1C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])=N[C@@H]2OCCO[C@@H]21,1.7815,211.675,300.1612943,0.705204182
ROZHUM,O=[N+]([O-])c1cc([N+](=O)[O-])c2cccnc2c1Nc1ccccc1,1.5429,235.338,333.723885,0.705187763
KOKCOC,O=C1C=Cc2cccc3ccc(Oc4c([N+](=O)[O-])cc([N+](=O)[O-])cc4[N+](=O)[O-])c1c23,1.6035,297.196,421.5334606,0.705035372
CEDMUV,O=[N+]([O-])c1ccc(Cc2nnn[nH]2)cc1,1.5435,155.493,220.6171646,0.704809167
DUJBUG,O=Cc1cc([N+](=O)[O-])ccc1O,1.5617,125.152,177.5990886,0.704688301
SUGWOJ,COc1cc(C=O)cc([N+](=O)[O-])c1O,1.5668,147.121,208.8282106,0.704507305
NIVPAJ,Nc1cc(CO)ccc1[N+](=O)[O-],1.535,128.06,181.8043186,0.704383708
FUSZEY,O=c1[nH]c2c([N+](=O)[O-])cccc2c2ccccc12,1.5339,183.053,259.8818887,0.704369977
SITHEK,O=[N+]([O-])c1ccc(-n2cncn2)cc1[N+](=O)[O-],1.6144,170.279,241.7602302,0.704330071
GAQMIV,O=c1cn[nH]c2c([N+](=O)[O-])cccc12,1.5822,141.159,200.499021,0.704038351
NITBAL02,O=[N+]([O-])c1ccc(/C=N/O)cc1,1.5069,128.81,182.9732832,0.703982558
